text,cleaned_tweet,sentiment,label,user
"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",rt finland nato update recent development point internal international track concerning,neutral,1,dbruhn
This thread is so worrying. MUST READ. No wonder @POTUS spoke his mind;  reflecting what he was being briefed behin… https://t.co/teSyAxPuLb,thread worrying must read wonder spoke mind reflecting briefed behin,neutral,1,CJ_flyvictor
RT @AfricanWatchman: Our position on #UkraineWar remains unchanged. It's obvious that #Russia is defending itself against #NATO's aggressiv…,rt position ukrainewar remains unchanged obvious russia defending nato aggressiv,neutral,1,Julian_Roechelt
"RT @DonnachaDCU: #Putin's side-kick, Dmitry Medvedev, asserts that #Russia has a veto on who can join the EU. \n\nIn his view the EU is contr…",rt putin sidekick dmitry medvedev asserts russia veto join eu nnin view eu contr,neutral,1,TheSwedishBot
🇷🇺⚡🇺🇦 58 BMP-1s from #Germany warehouses will be sent to Ukraine as military aid.\n\n⚡Join Typxa English… https://t.co/WiBRcBWGnN,bmp1s germany warehouse sent ukraine military aidnnjoin typxa english,negative,0,TPYXAEnglish
RT @Bain86092379: Ukranians are being killed by the #AZOVNAZIS. \n#POWs are being tortured &amp; killed by the same #AZOVNAZIS \nNow convince me…,rt ukranian killed azovnazis npows tortured amp killed azovnazis nnow convince,negative,0,DingaDongar
@DiegoFusaro #NATO #Draghi #Puzzer #UkraineRussiaWar #spesemilitari https://t.co/Sp1pUrfcp4,nato draghi puzzer ukrainerussiawar spesemilitari,neutral,1,LMaledetta
@BlkCzarDW \n@Blkczar \n@ucda10 \n@ACLU\n@Pontifex \n#EU\n#NATO \n@NATO\n\nBlkCzarDW said \nTIme 2 beaware of da plight of th… https://t.co/N41RYiZxCo,n n nn neunnato nnnblkczardw said ntime beaware da plight th,neutral,1,BlkCzarDW
"RT @nexta_tv: Dmitry #Medvedev claims that #Ukraine cannot join the \n EU because #Brussels is \controlled by #Washington\"" and it needs to b…""",rt dmitry medvedev claim ukraine cannot join n eu brussels controlled washington need b,neutral,1,goldbug666
"RT @naidooinc: As a South African, of Indian decent, I feel real proud, of the SA &amp; Indian governments chosing the #Russian side in the #NA…",rt south african indian decent feel real proud sa amp indian government chosing russian side na,positive,2,LiFei_SA
"@zeitonline @joha_roth @marcusgatzke \Wir müssen Putin die Eskalationsdominanz nehmen\""\nso der olle Sympathieträger… https://t.co/zXAszl6AcL""",wir mssen putin die eskalationsdominanz nehmennso der olle sympathietrger,neutral,1,MischaStrogow
"RT @OkawaBooks: 📣New book released!📣\nRead this before you watch the news!!📚\n\Putin’s Real Intentions on Ukraine Invasion\""\n\nLet's get your c…""",rt new book releasednread watch newsnputins real intention ukraine invasionnnlets get c,positive,2,TokumiToshio
RT @beckmansasikter: Vilken chock att #extremvänstern är emot frihetspakten #Nato Putin har många lakejer och avsändare i Sverige,rt vilken chock att extremvnstern r emot frihetspakten nato putin har mnga lakejer och avsndare sverige,neutral,1,jonssonsg
"Weder die #USA, noch die #EU, noch eine der mit ihnen verbundenen Institutionen hat sich je für die Bevölkerung der… https://t.co/KU9kt3G2jr",weder die usa noch die eu noch eine der mit ihnen verbundenen institutionen hat sich je fr die bevlkerung der,neutral,1,BastianEndrik
"RT @IvanKorcok: Pleased to host my colleagues from #BucharestNine 🇧🇬🇨🇿🇪🇪🇭🇺🇱🇻🇱🇹🇵🇱🇷🇴🇸🇰, DSG #NATO @Mircea_Geoana\n&amp;🇺🇲@StateEUR\n@KDonfried in #…",rt pleased host colleague bucharestnine dsg nato nampn,positive,2,MartaGio3
RT @valstsgriba: I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will also cont…,rt confirmed latvia continue everything possible field military assistance latvia also cont,positive,2,KalniArmands
"RT @NATO_AIRCOM: Four @Armee_de_lair 🇫🇷 Mirage 2000-5Fs have started their mission at Ämari airbase, Estonia 🇪🇪\n\nPart of #NATO’s enhanced A…",rt four mirage 20005fs started mission mari airbase estonia nnpart nato enhanced,neutral,1,Radedrugi
"RT @ecopeter: Dalle ceneri del #m5s è nato il partito della sinistra populista del @fattoquotidiano. Obiettivo unire tutti gli anti #NATO,…",rt dalle ceneri del m5s nato il partito della sinistra populista del obiettivo unire tutti gli anti nato,neutral,1,tizziviola
This could be useful for the #UK + #Welsh presence with #NATO in #Estonia. Will it fly there itself?… https://t.co/89ZlUwCM8j,could useful uk welsh presence nato estonia fly,positive,2,Eburacensis
RT @NATOJFCBS: #RisingGriffin is a two-week long exercise demonstrating #NATO's enhanced Forward Presence Battle Group Lithuania's vigilanc…,rt risinggriffin twoweek long exercise demonstrating nato enhanced forward presence battle group lithuania vigilanc,negative,0,2019_yoshiko
RT @CGMeifangZhang: #ChinaDailyCartoon  NATO can hardly cover up its hypocrisy when it fails to be honest about its long record of war crim…,rt chinadailycartoon nato hardly cover hypocrisy fails honest long record war crim,negative,0,periodic_reset
#Ukraine #Russia #Belarus #NATO #EU #UK #US #UN #war #diplomacy #Politics #sanctions #refugees #humanity #families… https://t.co/Q1ID0DTKdC,ukraine russia belarus nato eu uk u un war diplomacy politics sanction refugee humanity family,neutral,1,ChuckDalldorf
देश प्रदेश की ख़बरें : आज से नवरात्रि आरंभ/ HP में फायर सीजन घोषित/ पेट्... https://t.co/6FbEIngffy via @YouTube… https://t.co/OfWElSRg3s,hp via,neutral,1,TheRievTimes
RT @cat_coolcool: Cause of war \n#NATO https://t.co/1bMTVSNfKQ,rt cause war nnato,neutral,1,Elbanna_bot
আন্তর্জাতিক সংবাদ Today 03 April'22 📺 Bangla news আন্তর্জাতিক খবর antorj... https://t.co/b3PpMdPG50 via @YouTube… https://t.co/jIBom28L7Y,today april22 bangla news antorj via,neutral,1,nbs24bulletin
Cause of war \n#NATO https://t.co/1bMTVSNfKQ,cause war nnato,neutral,1,cat_coolcool
